id,name,rxn_str,kegg_id,bigg_id,ec_number,notes
ARGN,Arginase,arg__L_c + h2o_c <=> orn_c + urea_c,R00551,ARGN,,
GLUSx,Glutamate synthase  NADH2 ,akg_c + gln__L_c + h_c + nadh_c <=> 2.0 glu__L_c + nad_c,R00093,GLUSx,,
ORNCD,Ornithine cyclodeaminase,orn_c <=> nh3_c + 2.0 h_c + pro__L_c,R00671,ORNCD,,
ASPK,Aspartate kinase,asp__L_c + atp_c <=> 4pasp_c + adp_c,R00480,ASPK,,
ASAD,Aspartate-semialdehyde dehydrogenase,aspsa_c + nadp_c + pi_c <=> 4pasp_c + h_c + nadph_c,R02291,ASAD,,
HTPAHL,"L-aspartate-4-semialdehyde hydro-lyase [adding pyruvate and cyclizing; (2S,4S)-4-hydroxy-2,3,4,5-tetrahydrodipicolinate-forming]",aspsa_c + pyr_c <=> htpa_c + h2o_c,R10147,HTPAHL,,
HTPAORED,"2,3,4,5-tetrahydrodipicolinate:NAD+ 4-oxidoreductase",thdp_c + nad_c + h2o_c <=> htpa_c + nadh_c,R04198,HTPAORED,,
LDAPAT,LL-diaminopimelate aminotransferase,26dap_LL_c + akg_c <=> glu__L_c + h_c + h2o_c + thdp_c,R07613,LDAPAT,,
DAPE,Diaminopimelate epimerase,26dap_LL_c <=> 26dap__M_c,R02735,DAPE,,
DAPDC,Diaminopimelate decarboxylase,26dap__M_c + h_c <=> co2_c + lys__L_c,R00451,DAPDC,,
DDPA,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,e4p_c + h2o_c + pep_c <=> 2dda7p_c + pi_c,R01826,DDPA,,
DHQS,3-dehydroquinate synthase,2dda7p_c <=> 3dhq_c + pi_c,R03083,DHQS,,
DHQTi,"3-dehydroquinate dehydratase, irreversible",3dhq_c <=> 3dhsk_c + h2o_c,R03084,DHQTi,,
SHK3Dr,Shikimate dehydrogenase,3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c,R02413,SHK3Dr,,
SHKK,Shikimate kinase,atp_c + skm_c <=> adp_c + h_c + skm5p_c,R02412,SHKK,,
PSCVT,3-phosphoshikimate 1-carboxyvinyltransferase,pep_c + skm5p_c <=> 3psme_c + pi_c,R03460,PSCVT,,
CHORS,Chorismate synthase,3psme_c <=> chor_c + pi_c,R01714,CHORS,,
CHORM,Chorismate mutase,chor_c <=> pphn_c,R01715,CHORM,,
PPND,Prephenate dehydrogenase,nad_c + pphn_c <=> 34hpp_c + co2_c + nadh_c,R01728,PPND,,
TYRTA,Tyrosine transaminase,akg_c + tyr__L_c <=> 34hpp_c + glu__L_c,R00734,TYRTA,,
PPNDH,Prephenate dehydratase,h_c + pphn_c <=> co2_c + h2o_c + phpyr_c,R01373,PPNDH,,
PHEORED,L-phenylalanine:NAD+ oxidoreductase (deaminating),phe__L_c + h2o_c + nad_c <=> phpyr_c + nh3_c + nadh_c + 2.0 h_c,R00688,PHEORED,,
ACLS,Acetolactate synthase,h_c + 2.0 pyr_c <=> alac__S_c + co2_c,R00226,ACLS,,
DIMBUTORED,"(2R)-2,3-dihydroxy-3-methylbutanoate:NAD+ oxidoreductase (isomerizing)",23dhmb_c + nad_c <=> alac__S_c + nadh_c + h_c,R10916,DIMBUTORED,,
DHAD1,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)",23dhmb_c <=> 3mob_c + h2o_c,R04441,DHAD1,,
LVALORED_nadp,L-valine:NADP+ oxidoreductase (deaminating),val__L_c + nadp_c + h2o_c <=> 3mob_c + nh3_c + nadph_c + 2.0 h_c,R01212,LVALORED_nadp,,
IPPS,2-isopropylmalate synthase,3mob_c + accoa_c + h2o_c <=> 3c3hmp_c + coa_c + h_c,R01213,IPPS,,
ISOPROPMALSYN,"(2R,3S)-3-isopropylmalate hydro-lyase (2-isopropylmaleate-forming)",3c2hmp_c <=> 3c3hmp_c,R10170,ISOPROPMALSYN,,
ISOPROPMALORED,"(2R,3S)-3-isopropylmalate:NAD+ oxidoreductase",3c2hmp_c + nad_c <=> 4mop_c + co2_c + nadh_c,R10052,ISOPROPMALORED,,
LLEUDr,L leucine dehydrogenase,h2o_c + leu__L_c + nad_c <=> 4mop_c + h_c + nadh_c + nh3_c + h_c,R01088,LLEUDr,,
ANS2,Anthranilate synthase 2,chor_c + nh3_c <=> anth_c + h2o_c + pyr_c,R00985,ANS2,,
ANPRT,Anthranilate phosphoribosyltransferase,anth_c + prpp_c <=> ppi_c + pran_c,R01073,ANPRT,,
PRAIi,Phosphoribosylanthranilate isomerase (irreversible),pran_c <=> 2cpr5p_c,R03509,PRAIi,,
IGPS,Indole-3-glycerol-phosphate synthase,2cpr5p_c + h_c <=> 3ig3p_c + co2_c + h2o_c,R03508,IGPS,,
TRPS3,Tryptophan synthase (indoleglycerol phosphate),3ig3p_c <=> g3p_c + indole_c,R02340,TRPS3,,
TRPAS2,Tryptophanase (L-tryptophan),h2o_c + trp__L_c <=> indole_c + nh3_c + h_c + pyr_c,R00673,TRPAS2,,
